region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,225.825325056,102.4627469999999,99
Decoder Logits,126.889181184,15.307663000000016,47
Decoder skip,118.069384036,108.69651500000003,684
Encoder Cross Attention:,41.642407488,18.014417999999992,57
Self Attention,22.027809556,7.541449999999996,356
Encoder Process data,21.643644002,14.131609000000019,235
Decoder pre processing,0.002436036,6.590999999999709,221
Compute grid config,0.0,0.0,0
geo pruning,0.0,1.9960529999999983,61
Decoder Cross attention,0.0,62.86960199999997,14
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,13.685846999999997,17
encode,0.0,7.652021000000004,20
