region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,394.780048129,194.95129100000008,120
Self Attention,288.707764908,61.11405499999999,881
Encoder Process data,226.873296002,132.54560399999997,231
Decoder Cross Attention,107.693162496,50.72867900000001,207
Decoder Logits,60.511801344,8.209025000000125,109
Decoder skip,56.30575472,61.87865000000055,1346
Decoder pre processing,0.00116172,8.244114000000321,406
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
encode,0.0,74.00998199999997,20
geo pruning,0.0,11.586324999999997,75
Cross Attention - Encoder,0.0,122.10862499999999,9
Decoder Cross attention,0.0,38.92906899999998,35
