region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1493.775157,1296
Decoder Logits,1857.036484608,227.06370200000248,595
Decoder skip,1727.957827638,1596.914979000003,9741
Self Attention,179.454998028,41.50118300000003,904
Encoder Cross Attention:,131.6755968,57.33384000000002,56
Encoder Process data,68.438400002,40.740887999999984,230
Decoder pre processing,0.035651638,109.21231300000386,2440
geo pruning,0.0,4.599297,63
Decoder Cross attention,0.0,912.8548499999998,191
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,39.13464200000002,8
encode,0.0,26.881851999999988,1
