region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1508.5694010000027,1394
Decoder Logits,1857.036484609,227.59963700000108,673
Decoder skip,1062.268305462,1281.282888000012,9232
Encoder Cross Attention:,35.548915224,16.949993999999975,175
Self Attention,27.274061652,13.311894999999934,804
Encoder Process data,16.767408002,11.041873999999993,231
Decoder pre processing,0.035651637,61.24902099999407,1918
Latents init,0.0,0.0,0
geo pruning,0.0,1.5565200000000008,55
encode,0.0,7.172984999999977,1
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,783.9616730000013,152
Cross Attention - Encoder,0.0,11.045114000000005,20
