region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1496.8535310000032,1302
Decoder Logits,1857.036484608,227.5539439999991,597
Decoder skip,1727.957827638,1590.3873080000178,9750
Encoder Cross Attention:,147.665072841,43.44928199999992,405
Encoder Process data,38.496600002,23.398342000000007,230
Self Attention,33.160740387,14.943688000000003,340
Decoder pre processing,0.035651638,96.2508719999992,2660
encode,0.0,16.40020299999997,20
Decoder Cross attention,0.0,905.4821880000007,158
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
geo pruning,0.0,3.0698079999999983,75
Cross Attention - Encoder,0.0,22.660925999999993,8
