region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1510.4177900000102,1402
Decoder Logits,1857.036484608,227.55699199999984,663
Decoder skip,1062.268305462,1295.139189000002,9239
Encoder Cross Attention:,171.67353505,50.06359299999996,429
Encoder Process data,45.169344002,27.019923000000013,226
Self Attention,38.191629506,15.852264999999974,263
Decoder pre processing,0.035651638,100.2248359999999,2708
Decoder Cross attention,0.0,788.1991279999995,165
geo pruning,0.0,3.4413969999999967,75
encode,0.0,18.58900899999998,20
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,26.174535999999996,8
