region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1496.2363919999982,1300
Decoder Logits,1857.036484608,226.89609099999956,595
Decoder skip,1727.957827638,1588.970852000003,9738
Encoder Cross Attention:,85.363025206,29.181150999999968,290
Self Attention,53.76525791,16.070271999999925,674
Encoder Process data,28.915224002,18.124978000000002,236
Decoder pre processing,0.035651638,87.96072699999914,2461
Decoder Cross attention,0.0,902.4824519999988,145
Compute grid config,0.0,0.0,0
geo pruning,0.0,2.2278789999999997,60
encode,0.0,12.113297999999972,1
Cross Attention - Encoder,0.0,17.175086999999987,8
Latents init,0.0,0.0,0
