region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,1483.785289728,436.682586,99
Decoder Logits,413.537452032,47.19180299999996,44
Decoder skip,236.553095236,278.360551,628
Encoder Cross Attention:,122.578745088,66.89254500000013,363
Encoder Process data,69.464976002,40.852207999999955,226
Self Attention,32.539758436,8.684218999999933,303
Decoder pre processing,0.01786306,34.63222600000019,274
geo pruning,0.0,4.612759000000002,60
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,188.76873800000007,11
encode,0.0,20.932440999999976,1
Cross Attention - Encoder,0.0,38.24465800000001,9
