region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1494.8437619999922,1300
Decoder Logits,1857.036484608,227.6756629999991,595
Decoder skip,1727.957827638,1593.4122079999981,9755
Self Attention,133.344514668,34.32629399999986,925
Encoder Cross Attention:,95.135618688,40.20151599999998,56
Encoder Process data,49.446744002,29.694205999999998,230
Decoder pre processing,0.035651638,100.8567439999977,2442
Cross Attention - Encoder,0.0,28.527363999999988,8
Decoder Cross attention,0.0,900.5440619999998,137
geo pruning,0.0,3.5045990000000007,66
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
encode,0.0,19.723745999999952,1
