region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1511.4159870000005,1404
Decoder Logits,1857.036630402,228.44292199999998,674
Decoder skip,1062.268305462,1287.506140999985,9141
Encoder Cross Attention:,56.458129964,22.366098000000004,216
Self Attention,55.306149016,15.888003999999984,750
Encoder Process data,22.627446002,14.434627000000015,231
Decoder pre processing,0.035505844,79.23528299999789,2487
Compute grid config,0.0,0.0,0
encode,0.0,9.575342,1
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,792.6222549999991,184
Cross Attention - Encoder,0.0,14.143160999999994,17
geo pruning,0.0,1.9008039999999977,54
