region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,268.385945473,131.27850299999992,114
Self Attention,218.918925228,47.61045199999979,887
Encoder Process data,152.446536002,89.05866200000004,230
Decoder Cross Attention,117.451358208,55.518061999999766,211
Decoder Logits,65.994842112,8.835034999999944,103
Decoder skip,61.407680984,65.90723099999964,1344
Decoder pre processing,0.001266984,7.63271400000024,406
Compute grid config,0.0,0.0,0
encode,0.0,51.70560999999993,20
Cross Attention - Encoder,0.0,82.922557,9
Decoder Cross attention,0.0,41.20631099999984,40
geo pruning,0.0,10.324258999999998,75
Latents init,0.0,0.0,0
