region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,363.133476864,164.25749500000103,99
Decoder Logits,204.041373696,26.187972000000066,63
Decoder skip,189.858891712,170.685809000001,650
Encoder Cross Attention:,127.562420288,67.89271499999994,361
Self Attention,72.972975076,15.554798999999935,301
Encoder Process data,59.284764002,35.53976999999997,242
Decoder pre processing,0.003917212,16.78528499999907,299
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,97.00616000000038,10
encode,0.0,19.06913899999998,1
geo pruning,0.0,0.011515000000001692,5
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,33.93318200000002,18
