region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,390.822985728,118.48081299999998,100
Decoder Logits,108.924076032,14.583082999999984,47
Encoder Cross Attention:,67.215245376,31.323252000000075,151
Decoder skip,62.307119236,77.87482099999967,655
Encoder Process data,34.732488002,21.18815399999997,231
Self Attention,33.709358436,12.733375000000008,465
Decoder pre processing,0.00470506,9.365295000000057,233
encode,0.0,11.336083000000004,1
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,20.363836000000003,9
geo pruning,0.0,2.492292,55
Decoder Cross attention,0.0,54.85998999999995,13
Compute grid config,0.0,0.0,0
