region,gflops,cuda_ms,leaf_ops
Self Attention,218.918943661,48.74795199999981,943
Decoder Cross Attention,118.081732608,54.806365000000035,204
Encoder Cross Attention:,110.22986304,41.30859399999997,55
Decoder Logits,66.349043712,8.625050999999923,99
Decoder skip,61.737262784,65.89703599999962,1350
Encoder Process data,50.815512002,30.485378,230
Decoder pre processing,0.001273784,7.62011499999994,404
Cross Attention - Encoder,0.0,29.42780099999999,8
geo pruning,0.0,3.8243950000000027,75
Compute grid config,0.0,0.0,0
encode,0.0,23.280771999999946,20
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,40.91884599999989,40
