region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,303.046189056,134.60840599999958,98
Decoder Logits,170.278877184,19.72428799999965,44
Decoder skip,158.443154536,141.90672700000079,686
Encoder Cross Attention:,103.080844288,54.98928099999994,362
Self Attention,59.818332676,12.982257000000017,305
Encoder Process data,47.906880002,28.926649000000005,242
Decoder pre processing,0.003269036,12.04701799999943,223
Decoder Cross attention,0.0,80.70198599999998,14
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
Cross Attention - Encoder,0.0,27.828449000000006,18
encode,0.0,15.598725000000016,1
geo pruning,0.0,0.11161599999999862,13
