region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1507.7991910000019,1427
Decoder Logits,1857.036484608,227.62020300000103,625
Decoder skip,1062.268305462,1289.069687999998,9239
Self Attention,45.872031322,16.843299000000005,827
Encoder Cross Attention:,27.731561618,14.150243999999995,147
Encoder Process data,13.858776002,9.491301999999994,231
Decoder pre processing,0.035651638,66.80971100000426,1898
encode,0.0,6.774818999999996,1
geo pruning,0.0,1.3576909999999962,49
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,793.277366,180
Cross Attention - Encoder,0.0,9.823467999999988,23
Latents init,0.0,0.0,0
