region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1511.0343959999989,1425
Decoder Logits,1857.036484608,227.26272100000043,637
Decoder skip,1062.268305462,1285.364822999991,9223
Self Attention,54.832070028,19.503263999999916,890
Encoder Cross Attention:,6.346144,2.1342810000000134,69
Decoder pre processing,0.035651638,74.45053800000075,2414
Encoder Process data,0.034219202,2.668175000000002,221
Decoder Cross attention,0.0,792.4792750000004,190
Compute grid config,0.0,0.0,0
encode,0.0,3.3017579999999835,1
Cross Attention - Encoder,0.0,4.0259569999999965,28
geo pruning,0.0,0.6140409999999984,47
Latents init,0.0,0.0,0
