region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,6663.104888832,1965.22604,1324
Decoder Logits,1857.036484608,228.52425000000088,618
Decoder skip,1727.957827638,1598.9951679999992,9452
Encoder Cross Attention:,147.670358016,69.29698900000002,57
Encoder Process data,84.863616002,50.22221699999997,230
Self Attention,38.770904836,10.967242000000006,301
Decoder pre processing,0.080216118,155.39656699999435,2741
Decoder Cross attention,0.0,1007.6270930000017,136
geo pruning,0.0,5.646932000000007,60
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
encode,0.0,25.67713599999999,1
Cross Attention - Encoder,0.0,46.543208,8
