region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,228.703235782,101.16438299999987,269
Decoder Cross Attention,119.090331648,57.72601899999971,205
Encoder Process data,110.322700802,68.23780999999997,253
Self Attention,74.898729542,34.16499699999975,697
Decoder Logits,66.915766272,10.093529999999854,105
Decoder skip,62.264593664,95.18410900000015,1329
Decoder pre processing,0.001284664,15.6482520000008,404
encode,0.0,36.33289699999989,10
Decoder Cross attention,0.0,70.40373299999992,37
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,63.74097199999999,8
geo pruning,0.0,8.683791000000008,63
