region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,419.64668928,125.96034800000014,97
Decoder Logits,116.95736832,15.023297999999981,46
Decoder skip,66.902350324,82.83210299999955,648
Encoder Cross Attention:,26.17797869,12.720293000000005,147
Self Attention,17.030597186,4.918284000000011,234
Encoder Process data,11.976720002,8.40446499999998,231
Decoder pre processing,0.005052064,9.256957000000046,225
Cross Attention - Encoder,0.0,8.792745999999998,24
Latents init,0.0,0.0,0
geo pruning,0.0,1.3768059999999995,54
encode,0.0,4.964359000000005,20
Decoder Cross attention,0.0,57.431984999999926,13
Compute grid config,0.0,0.0,0
