region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,125.898375168,60.11227599999966,205
Encoder Cross Attention:,122.151234434,55.42460599999998,155
Self Attention,102.21294529,43.819829999999996,806
Decoder Logits,70.741143552,10.116777999999963,108
Decoder skip,65.824077104,99.00716600000084,1330
Encoder Process data,59.404531202,39.531187999999965,235
Decoder pre processing,0.001358104,15.95768700000026,404
geo pruning,0.0,5.417668000000009,58
Cross Attention - Encoder,0.0,38.52395,21
encode,0.0,22.282633999999995,10
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,72.71733300000001,36
