region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1507.1978999999897,1404
Decoder Logits,1857.036484608,226.7318979999972,660
Decoder skip,1062.268305462,1280.843806000008,9237
Self Attention,23.138415138,13.154676999999952,874
Encoder Cross Attention:,15.42404769,8.743385999999992,100
Encoder Process data,8.554800002,6.803221000000007,222
Decoder pre processing,0.035505846,54.53722299999791,1883
Decoder Cross attention,0.000145792,787.9832880000025,185
geo pruning,0.0,1.0455730000000003,50
encode,0.0,4.410030999999987,1
Cross Attention - Encoder,0.0,7.0157080000000045,25
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
