region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,426.542009473,215.31458000000026,120
Encoder Process data,254.077560002,148.44343900000015,231
Self Attention,218.918925228,48.154025999999476,887
Decoder Cross Attention,113.492606976,52.89231699999956,212
Decoder Logits,63.770456064,8.517969000000011,101
Decoder skip,59.33790728,63.86057999999952,1342
Decoder pre processing,0.00122428,7.5179110000003275,406
geo pruning,0.0,11.547223000000002,75
Decoder Cross attention,0.0,39.77622599999988,40
Compute grid config,0.0,0.0,0
Cross Attention - Encoder,0.0,135.44174800000008,9
Latents init,0.0,0.0,0
encode,0.0,78.24786599999989,20
