region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1495.8040339999975,1300
Decoder Logits,1857.036484608,227.24573200000137,595
Decoder skip,1727.957827638,1590.9325829999927,9761
Encoder Cross Attention:,104.494455186,32.70470000000003,316
Self Attention,44.499761394,15.327394000000035,583
Encoder Process data,31.182246002,19.31153300000001,234
Decoder pre processing,0.035651638,88.67656899999939,2502
encode,0.0,12.976857000000022,1
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,904.8570529999979,149
Cross Attention - Encoder,0.0,18.431856000000007,8
geo pruning,0.0,2.466169999999997,64
Latents init,0.0,0.0,0
