region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,114.16080384,53.304390999999946,101
Decoder Logits,64.14590976,9.243561999999987,48
Decoder skip,59.687263984,57.804270999999794,687
Self Attention,16.406667228,13.084433999999966,896
Encoder Cross Attention:,4.46583744,3.383154000000006,77
Encoder Process data,2.566440002,3.8270989999999854,224
Decoder pre processing,0.001231484,2.7494000000000414,174
geo pruning,0.0,0.9176570000000015,54
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,35.68541399999993,18
Cross Attention - Encoder,0.0,4.557549999999988,28
encode,0.0,2.833350999999982,20
