region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,382.130122752,113.93752300000013,100
Decoder Logits,106.501337088,12.723180000000154,47
Encoder Cross Attention:,95.553761088,52.07204300000019,363
Decoder skip,60.921255892,74.67461500000037,648
Encoder Process data,52.098732002,30.772819999999985,226
Self Attention,32.539758436,8.261036999999927,303
Decoder pre processing,0.004600408,9.010889000000287,236
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,52.33376300000014,17
Compute grid config,0.0,0.0,0
geo pruning,0.0,3.5267690000000016,60
Cross Attention - Encoder,0.0,28.985716000000018,9
encode,0.0,16.094526999999992,1
