region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1508.3531840000012,1398
Decoder Logits,1857.036484608,227.51512999999903,673
Decoder skip,1062.268305462,1282.3671970000075,9240
Self Attention,41.164491646,15.153105000000018,808
Encoder Cross Attention:,39.32663975,15.590950000000015,164
Encoder Process data,15.441414002,10.240275999999994,231
Decoder pre processing,0.035651638,68.99115299999809,1903
encode,0.0,7.171576000000012,1
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,784.021235999999,157
Compute grid config,0.0,0.0,0
Cross Attention - Encoder,0.0,10.22514200000001,20
geo pruning,0.0,1.4216610000000016,52
