region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,531.979385473,273.78614300000027,122
Encoder Process data,321.831576002,188.0742940000001,231
Self Attention,218.918925228,47.67768600000028,887
Decoder Cross Attention,112.975699968,52.692815999999716,222
Decoder Logits,63.480010752,8.767713999999687,97
Decoder skip,59.067650204,62.821028000001036,1340
Decoder pre processing,0.001218704,7.239624999999869,406
encode,0.0,96.0459740000001,20
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,39.37820500000028,38
Cross Attention - Encoder,0.0,170.979053,9
geo pruning,0.0,11.700544000000008,75
