region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1507.8007080000034,1403
Decoder Logits,1857.036484608,227.38525199999782,667
Decoder skip,1062.268305462,1279.2601580000053,9228
Self Attention,40.59452449,15.73630799999992,840
Encoder Cross Attention:,23.329284674,11.807871000000006,139
Encoder Process data,11.634528002,8.309093000000015,231
Decoder pre processing,0.035651638,62.34396899999799,1894
Decoder Cross attention,0.0,788.250483999999,177
Cross Attention - Encoder,0.0,8.561771000000004,25
Latents init,0.0,0.0,0
geo pruning,0.0,1.212737999999996,47
encode,0.0,5.991136999999978,1
Compute grid config,0.0,0.0,0
