region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,213.016117248,95.44007799999986,99
Decoder Logits,119.691804672,15.116791000000056,44
Decoder skip,111.37228186,101.3411920000002,685
Encoder Cross Attention:,21.974574082,10.994633999999992,131
Self Attention,12.385960962,4.48299100000003,253
Encoder Process data,10.950144002,8.258824,226
Decoder pre processing,0.00229786,5.2633290000000414,180
Decoder Cross attention,0.0,58.823867999999976,17
encode,0.0,4.464295000000008,20
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
geo pruning,0.0,1.3057479999999977,54
Cross Attention - Encoder,0.0,8.306422000000001,24
