region,gflops,cuda_ms,leaf_ops
Self Attention,218.918925228,45.777992000000204,887
Encoder Cross Attention:,215.667257473,102.26094299999991,114
Encoder Process data,118.569528002,69.38560899999996,230
Decoder Cross Attention,114.274271232,53.120786999999915,211
Decoder Logits,64.209666048,8.541507999999906,102
Decoder skip,59.746588712,63.702386000000146,1345
Decoder pre processing,0.001232712,7.326638999999886,406
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,39.464587999999964,38
Cross Attention - Encoder,0.0,64.52529999999997,9
Latents init,0.0,0.0,0
geo pruning,0.0,8.158883000000003,75
encode,0.0,41.997472000000045,20
