region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1501.8356149999966,1322
Decoder Logits,1857.036484608,228.05704399999905,621
Decoder skip,1727.957827638,1578.6530869999874,9667
Encoder Cross Attention:,142.686559488,71.12579400000004,57
Encoder Process data,86.574576002,51.22984200000005,241
Self Attention,21.946809556,5.043562000000053,302
Decoder pre processing,0.035651638,72.8343420000007,2397
Cross Attention - Encoder,0.0,48.32745000000001,8
Compute grid config,0.0,0.0,0
encode,0.0,26.140464000000023,20
Latents init,0.0,0.0,0
Decoder Cross attention,0.0,933.7606179999975,245
geo pruning,0.0,6.211810000000007,75
