region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,156.493227844,70.3960660000001,195
Decoder Cross Attention,120.804950016,58.216935000000305,205
Self Attention,94.28354708,40.512967,766
Encoder Process data,76.377254402,48.96591,235
Decoder Logits,67.879194624,10.076153000000165,106
Decoder skip,63.16105616,96.6643959999994,1329
Decoder pre processing,0.00130316,15.86343900000005,404
geo pruning,0.0,6.465068999999994,61
Compute grid config,0.0,0.0,0
encode,0.0,26.934293000000018,10
Decoder Cross attention,0.0,71.4285339999999,37
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,46.735334,18
