region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1507.4344389999992,1398
Decoder Logits,1857.036484608,226.89135399999995,673
Decoder skip,1062.268305462,1280.5479909999976,9235
Self Attention,42.319863262,15.73187000000005,836
Encoder Cross Attention:,24.768490598,12.411577000000015,143
Encoder Process data,12.361686002,8.686938999999992,231
Decoder pre processing,0.035651638,64.6572940000018,1896
geo pruning,0.0,1.2458890000000018,49
Cross Attention - Encoder,0.0,8.898408000000003,23
Compute grid config,0.0,0.0,0
encode,0.0,6.209868000000017,1
Decoder Cross attention,0.0,784.6597810000007,167
Latents init,0.0,0.0,0
