region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,1195.39574784,351.4406629999998,101
Decoder Logits,333.16202496,39.21557200000007,46
Decoder skip,190.576470964,224.48869700000012,644
Encoder Cross Attention:,16.894676042,8.727021000000015,98
Self Attention,10.450975322,5.107526000000025,286
Encoder Process data,8.383704002,6.822214000000002,222
Decoder pre processing,0.014391184,21.527079000000086,215
Cross Attention - Encoder,0.0,7.078515000000007,24
Decoder Cross attention,0.0,152.3234009999999,10
geo pruning,0.0,1.1749710000000004,54
encode,0.0,3.7245920000000132,20
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
