region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,200.106049536,89.39067999999993,99
Decoder Logits,112.437755904,13.227283999999964,44
Decoder skip,104.622446596,95.75176600000022,686
Encoder Cross Attention:,16.861949954,8.134126000000009,95
Self Attention,12.38646989,5.015069999999985,289
Encoder Process data,7.665100802,6.472924,226
Decoder pre processing,0.002158596,4.87218799999998,179
Decoder Cross attention,0.0,55.36092600000003,17
Latents init,0.0,0.0,0
geo pruning,0.0,1.1100709999999996,54
encode,0.0,3.5349189999999964,20
Compute grid config,0.0,0.0,0
Cross Attention - Encoder,0.0,6.720494000000003,24
