region,gflops,cuda_ms,leaf_ops
Encoder Cross Attention:,120.875351809,55.917987999999966,107
Decoder Cross Attention,118.497779712,55.834340999999945,216
Self Attention,97.619275308,26.71404200000004,898
Encoder Process data,69.464976002,41.13339500000001,230
Decoder Logits,66.582816768,8.908129999999957,100
Decoder skip,61.954786772,66.24143199999979,1344
Decoder pre processing,0.001278272,6.164478999999926,406
Cross Attention - Encoder,0.0,38.19725199999999,9
Decoder Cross attention,0.0,41.284574999999954,37
geo pruning,0.0,5.008563999999995,75
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
encode,0.0,24.003224999999997,20
