region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,528.205805568,156.03824700000015,105
Decoder Logits,147.213268992,18.299611000000077,46
Decoder skip,84.209433196,102.72520899999961,643
Self Attention,11.215390756,5.846913000000019,306
Encoder Cross Attention:,9.606988608,4.910144000000007,76
Encoder Process data,4.191852002,4.573777000000003,222
Decoder pre processing,0.00635899,10.285886000000021,203
Compute grid config,0.0,0.0,0
encode,0.0,2.5569650000000084,20
geo pruning,0.0,0.9592319999999956,54
Decoder Cross attention,0.0,71.5888169999999,15
Cross Attention - Encoder,0.0,5.103590000000002,26
Latents init,0.0,0.0,0
