region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,495.289847808,147.15043100000028,108
Decoder Logits,138.039447552,16.37730300000003,45
Decoder skip,78.961792756,96.53002699999988,643
Encoder Cross Attention:,12.980709312,6.5405509999999785,85
Self Attention,10.450978852,5.221086999999966,299
Encoder Process data,5.868592802,5.4157750000000044,222
Decoder pre processing,0.00596272,9.605097999999874,203
encode,0.0,3.036831999999986,20
Decoder Cross attention,0.0,66.71890900000001,13
geo pruning,0.0,1.0353639999999988,54
Cross Attention - Encoder,0.0,5.7382139999999975,24
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
