region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1509.9446979999996,1402
Decoder Logits,1857.036484608,227.80546200000205,669
Decoder skip,1062.268305462,1286.802113999994,9234
Self Attention,54.832070028,18.83713300000001,888
Encoder Cross Attention:,11.6184192,4.555128000000019,78
Encoder Process data,3.421920002,4.098205000000002,222
Decoder pre processing,0.035651638,77.58597799999808,2436
geo pruning,0.0,0.8057710000000002,50
Cross Attention - Encoder,0.0,4.801016000000005,25
encode,0.0,4.199546000000011,1
Latents init,0.0,0.0,0
Compute grid config,0.0,0.0,0
Decoder Cross attention,0.0,783.6774120000002,148
